223080	COG0001
223081	COG0002
223082	COG0003
223083	COG0004
223084	COG0005
223085	COG0006
223086	COG0007
223087	COG0008
223088	COG0009
223089	COG0010
223090	COG0011
223091	COG0012
223092	COG0013
223093	COG0014
223094	COG0015
223095	COG0016
223096	COG0017
223097	COG0018
223098	COG0019
223099	COG0020
223100	COG0021
223101	COG0022
223102	COG0023
223103	COG0024
223104	COG0025
223105	COG0026
223106	COG0027
223107	COG0028
223108	COG0029
223109	COG0030
223110	COG0031
223111	COG0033
223112	COG0034
223113	COG0035
223114	COG0036
223115	COG0037
223116	COG0038
223117	COG0039
223118	COG0040
223119	COG0041
223120	COG0042
223121	COG0043
223122	COG0044
223123	COG0045
223124	COG0046
223125	COG0047
223126	COG0048
223127	COG0049
223128	COG0050
223129	COG0051
223130	COG0052
223131	COG0053
223132	COG0054
223133	COG0055
223134	COG0056
223135	COG0057
223136	COG0058
223137	COG0059
223138	COG0060
223139	COG0061
223140	COG0062
223141	COG0063
223142	COG0064
223143	COG0065
223144	COG0066
223145	COG0067
223146	COG0068
223147	COG0069
223148	COG0070
223149	COG0071
223150	COG0072
223151	COG0073
223152	COG0074
223153	COG0075
223154	COG0076
223155	COG0077
223156	COG0078
223157	COG0079
223158	COG0080
223159	COG0081
223160	COG0082
223161	COG0083
223162	COG0084
223163	COG0085
223164	COG0086
223165	COG0087
223166	COG0088
223167	COG0089
223168	COG0090
223169	COG0091
223170	COG0092
223171	COG0093
223172	COG0094
223173	COG0095
223174	COG0096
223175	COG0097
223176	COG0098
223177	COG0099
223178	COG0100
223179	COG0101
223180	COG0102
223181	COG0103
223182	COG0104
223183	COG0105
223184	COG0106
223185	COG0107
223186	COG0108
223187	COG0109
223188	COG0110
223189	COG0111
223190	COG0112
223191	COG0113
223192	COG0114
223193	COG0115
223194	COG0116
223195	COG0117
223196	COG0118
223197	COG0119
223198	COG0120
223199	COG0121
223200	COG0122
223201	COG0123
223202	COG0124
223203	COG0125
223204	COG0126
223205	COG0127
223206	COG0128
223207	COG0129
223208	COG0130
223209	COG0131
223210	COG0132
223211	COG0133
223212	COG0134
223213	COG0135
223214	COG0136
223215	COG0137
223216	COG0138
223217	COG0139
223218	COG0140
223219	COG0141
223220	COG0142
223221	COG0143
223222	COG0144
223223	COG0145
223224	COG0146
223225	COG0147
223226	COG0148
223227	COG0149
223228	COG0150
223229	COG0151
223230	COG0152
223231	COG0153
223232	COG0154
223233	COG0155
223234	COG0156
223235	COG0157
223236	COG0158
223237	COG0159
223238	COG0160
223239	COG0161
223240	COG0162
223241	COG0163
223242	COG0164
223243	COG0165
223244	COG0166
223245	COG0167
223246	COG0168
223247	COG0169
223248	COG0170
223249	COG0171
223250	COG0172
223251	COG0173
223252	COG0174
223253	COG0175
223254	COG0176
223255	COG0177
223256	COG0178
223257	COG0179
223258	COG0180
223259	COG0181
223260	COG0182
223261	COG0183
223262	COG0184
223263	COG0185
223264	COG0186
223265	COG0187
223266	COG0188
223267	COG0189
223268	COG0190
223269	COG0191
223270	COG0192
223271	COG0193
223272	COG0194
223273	COG0195
223274	COG0196
223275	COG0197
223276	COG0198
223277	COG0199
223278	COG0200
223279	COG0201
223280	COG0202
223281	COG0203
223282	COG0204
223283	COG0205
223284	COG0206
223285	COG0207
223286	COG0208
223287	COG0209
223288	COG0210
223289	COG0211
223290	COG0212
223291	COG0213
223292	COG0214
223293	COG0215
223294	COG0216
223295	COG0217
223296	COG0218
223297	COG0219
223298	COG0220
223299	COG0221
223300	COG0222
223301	COG0223
223302	COG0224
223303	COG0225
223304	COG0226
223305	COG0227
223306	COG0228
223307	COG0229
223308	COG0230
223309	COG0231
223310	COG0232
223311	COG0233
223312	COG0234
223313	COG0235
223314	COG0236
223315	COG0237
223316	COG0238
223317	COG0239
223318	COG0240
223319	COG0241
223320	COG0242
223321	COG0243
223322	COG0244
223323	COG0245
223324	COG0246
223325	COG0247
223326	COG0248
223327	COG0249
223328	COG0250
223329	COG0251
223330	COG0252
223331	COG0253
223332	COG0254
223333	COG0255
223334	COG0256
223335	COG0257
223336	COG0258
223337	COG0259
223338	COG0260
223339	COG0261
223340	COG0262
223341	COG0263
223342	COG0264
223343	COG0265
223344	COG0266
223345	COG0267
223346	COG0268
223347	COG0269
223348	COG0270
223349	COG0271
223350	COG0272
223351	COG0274
223352	COG0275
223353	COG0276
223354	COG0277
223355	COG0278
223356	COG0279
223357	COG0280
223358	COG0281
223359	COG0282
223360	COG0283
223361	COG0284
223362	COG0285
223363	COG0286
223364	COG0287
223365	COG0288
223366	COG0289
223367	COG0290
223368	COG0291
223369	COG0292
223370	COG0293
223371	COG0294
223372	COG0295
223373	COG0296
223374	COG0297
223375	COG0298
223376	COG0299
223377	COG0300
223378	COG0301
223379	COG0302
223380	COG0303
223381	COG0304
223382	COG0305
223383	COG0306
223384	COG0307
223385	COG0308
223386	COG0309
223387	COG0310
223388	COG0311
223389	COG0312
223390	COG0313
223391	COG0314
223392	COG0315
223393	COG0316
223394	COG0317
223395	COG0318
223396	COG0319
223397	COG0320
223398	COG0321
223399	COG0322
223400	COG0323
223401	COG0324
223402	COG0325
223403	COG0326
223404	COG0327
223405	COG0328
223406	COG0329
223407	COG0330
223408	COG0331
223409	COG0332
223410	COG0333
223411	COG0334
223412	COG0335
223413	COG0336
223414	COG0337
223415	COG0338
223416	COG0339
223417	COG0340
223418	COG0341
223419	COG0342
223420	COG0343
223421	COG0344
223422	COG0345
223423	COG0346
223424	COG0347
223425	COG0348
223426	COG0349
223427	COG0350
223428	COG0351
223429	COG0352
223430	COG0353
223431	COG0354
223432	COG0355
223433	COG0356
223434	COG0357
223435	COG0358
223436	COG0359
223437	COG0360
223438	COG0361
223439	COG0362
223440	COG0363
223441	COG0364
223442	COG0365
223443	COG0366
223444	COG0367
